Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Wyatt Langford","TEX",134,557,16,74,74,19,0.091561938,0.206463195,0.162324649,0.296495956,0.25250501,0.324955116,0.414829659,0.32110500604667386,0.3321077654885294,111.29704584628975,4.3645113334059715,11.564398555874856,-0.2643098831176758,3.0737721553109094,"Wyatt Langford",33333,694671
"Tyler Stephenson","CIN",138,515,19,69,66,1,0.093203883,0.227184466,0.185995623,0.306501547,0.258205689,0.337864077,0.444201312,0.33936225926434554,0.3246214687824249,113.01500435136597,-3.3928532004356384,4.622318515726009,7.78378963470459,3.0592938237870975,"Tyler Stephenson",17988,663886
"Christian Walker","ARI",130,552,26,72,84,2,0.099637681,0.240942028,0.217118998,0.286585365,0.25052192,0.335144927,0.467640918,0.3434478165241924,0.35420117658727307,119.58764615968676,-3.2036290392279625,9.72589721127775,1.3757238388061523,3.052310538791226,"Christian Walker",13419,572233
"Luis García Jr.","WSN",140,528,18,58,70,22,0.051136363,0.162878787,0.162,0.309823677,0.282,0.318181818,0.444,0.3281335896412229,0.3348572649274554,110.26560092143444,0.5365732163190842,7.018133785923732,4.5627323389053345,3.0189467375919117,"Luis Garcia Jr.",20391,671277
"Yainer Diaz","HOU",148,619,16,70,84,2,0.038772213,0.17285945,0.141880342,0.338297872,0.299145299,0.324717285,0.441025641,0.3288189165028939,0.3431905771230722,115.87666623872789,-1.56371608376503,9.681183238877532,-1.54288250207901,2.9594685266377945,"Yainer Diaz",23003,673237
"Carlos Santana","MIN",150,594,23,63,71,4,0.109427609,0.166666666,0.182341651,0.251870324,0.238003838,0.328282828,0.420345489,0.32645044845171184,0.3326018252615201,112.85098632720843,-0.9534133151173592,7.780894914005341,0.844996452331543,2.9242456786999664,"Carlos Santana",2396,467793
"Nathaniel Lowe","TEX",140,565,16,62,69,2,0.125663716,0.221238938,0.135802469,0.323782234,0.265432098,0.361061946,0.401234567,0.3372676782574214,0.33229811590337244,122.66619954801395,-0.8465505018830299,13.806659140507445,-4.222263336181641,2.923964923550242,"Nathaniel Lowe",19566,663993
"Willi Castro","MIN",158,635,12,89,60,14,0.08031496,0.236220472,0.137992832,0.315,0.247311827,0.331230283,0.385304659,0.3171236067540262,0.3234887907776651,106.29029540741563,-0.6003614813089371,3.969998139867191,3.267853558063507,2.9212434590142653,"Willi Castro",17338,650489
"Josh Smith","TEX",149,592,13,67,62,11,0.077702702,0.204391891,0.135755258,0.311224489,0.258126195,0.337288135,0.393881453,0.3227134973367325,0.3092953175154526,112.42849146778795,-0.5736059546470642,7.845107592901803,0.7673776745796204,2.916014719157591,"Josh Smith",26396,669701
"Jonathan India","CIN",151,637,15,84,58,13,0.125588697,0.196232339,0.144465291,0.2925,0.247654784,0.357480314,0.392120075,0.33337109332948217,0.35369952469594096,108.98253900584913,-0.05377727746963501,6.788486747927218,0.1282945885322988,2.913569264355192,"Jonathan India",21523,663697
"Taylor Ward","LAA",156,663,25,73,75,6,0.095022624,0.245852187,0.179487179,0.29382716,0.246153846,0.322775263,0.425641025,0.32538151929820824,0.34549720049624716,111.67056100911094,-2.571352504193783,6.282063453853397,-0.8674530982971191,2.828792945943823,"Taylor Ward",17548,621493
"Brandon Nimmo","NYM",151,663,23,88,90,15,0.116138763,0.238310708,0.175131348,0.267175572,0.224168126,0.32730015,0.399299474,0.32051343887234024,0.33825581868489585,108.35613521399686,2.479599617421627,9.104514024823864,-4.3852715492248535,2.7763765132636475,"Brandon Nimmo",12927,607043
"Andrés Giménez","CLE",152,633,9,64,63,30,0.041074249,0.153238546,0.087478559,0.285714285,0.252144082,0.298412698,0.339622641,0.28149777878259435,0.30095423954658934,83.21128527282949,2.2156159207224846,-9.944193464056607,15.688987731933594,2.7601974694050764,"Andres Gimenez",19950,665926
"Jeremy Peña","HOU",157,650,15,78,70,20,0.038461538,0.17076923,0.127906977,0.300829875,0.26578073,0.307573415,0.393687707,0.3050573243998891,0.31361267945476784,99.16227710219016,2.172145076096058,1.5491001689817616,3.3890154361724854,2.7350799973773294,"Jeremy Pena",21636,665161
"Adley Rutschman","BAL",148,638,19,68,79,1,0.09090909,0.161442006,0.140105079,0.271929824,0.250437828,0.318181818,0.390542907,0.30890228964212374,0.3204838790292815,102.75314592908194,-2.9677981063723564,-0.957985723593497,6.191771328449249,2.724537675113767,"Adley Rutschman",26288,668939
"Jacob Young","WSN",150,521,3,75,36,33,0.057581573,0.195777351,0.074786325,0.320547945,0.256410256,0.31640625,0.331196581,0.2896075388416648,0.29149270245409387,84.33492792090736,4.273840069770813,-5.485746151515205,13.89448356628418,2.667169235998416,"Jacob Young",29931,696285
"Will Smith","LAD",128,544,20,77,75,1,0.09375,0.193014705,0.18487395,0.272980501,0.247899159,0.327205882,0.432773109,0.3257519090928996,0.3366978773430212,109.14247124469465,-1.2009476649109274,4.746406303154666,2.3400936126708984,2.6100182292158864,"Will Smith",19197,669257
"Matt Olson","ATL",162,685,29,78,98,0,0.103649635,0.248175182,0.21,0.293103448,0.246666666,0.332846715,0.456666666,0.33945008884457983,0.3410483591655302,117.40058190255142,-3.614585906267166,10.63872071416123,-8.30626630783081,2.605828676195739,"Matt Olson",14344,621566
"Brice Turang","MIL",155,619,7,72,57,50,0.080775444,0.169628432,0.094812165,0.3,0.254025044,0.315960912,0.348837209,0.29423238577694916,0.30165485319544055,88.1685147784398,7.249273017048836,-1.5084498684378111,5.543793678283691,2.553836580333091,"Brice Turang",22186,668930
"Matt Vierling","DET",144,567,16,80,57,6,0.072310405,0.21340388,0.166023166,0.303108808,0.256756756,0.312169312,0.422779922,0.3174157493316664,0.31111639973083277,107.01300052232018,2.773012660443783,7.322815081970244,-3.45133113861084,2.3407947653078893,"Matt Vierling",21558,663837
"Heliot Ramos","SFG",121,518,22,54,72,6,0.071428571,0.26061776,0.2,0.329192546,0.269473684,0.322393822,0.469473684,0.3387795454540918,0.33786463737487793,119.75980864309486,-0.6154462620615959,11.624338439834188,-6.525151968002319,2.3150089356043866,"Heliot Ramos",22515,671218
"Josh Naylor","CLE",152,633,31,84,108,6,0.091627172,0.165876777,0.213143873,0.245939675,0.243339253,0.319620253,0.456483126,0.33160023488998414,0.3372639124887139,118.45437607436351,-2.548099420964718,10.818123010352243,-9.86380934715271,2.2654475089225397,"Josh Naylor",18839,647304
"Michael Busch","CHC",152,567,21,73,65,2,0.111111111,0.285714285,0.191532259,0.321766561,0.24798387,0.335097001,0.439516129,0.3364596908168321,0.32410807651756085,117.60856911592568,-1.6106901913881302,10.328322383293635,-8.014784336090088,2.196484244101778,"Michael Busch",26319,683737
