Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID,batter_id,avg_protection_score,games_x,total_pa,avg_batting_order,batter,avg_ondeck_protection,avg_preceding_protection,games_y,total_pitches,Team_Abbr,park_factor,wOBA_park_adj,heart_pct,avg_pitcher_fip_minus,avg_pitcher_fip,unique_pitchers_faced,ondeck_adj,preceding_adj,protection_adj,park_adj,pitcher_adj,pitch_quality_adj,wOBA_true_talent,total_context_adj
William Contreras,MIL,155,679,23,99,92,9,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.3587271837346278,0.3591032848867535,131.57793467399807,-2.575035162270069,23.064773541523092,7.381562352180481,5.488651739986147,William Contreras,20503,661388,661388,0.3380491559247078,158,691,4.806078147612157,661388,0.3313371779370578,0.305414451949969,89,1536,MIL,98.89779090881348,0.36272517357378015,0.10378590078328982,100.3273353624888,3.825632386618553,192,-0.0001609647532596792,-0.0026677334111304464,-0.0028286981643901254,-0.003997989839152338,-0.00032733536248879603,-0.00026722625825401216,0.36202179435461873,-0.006766578899307681
Matt Chapman,SFG,154,647,27,98,78,15,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.3401357669452702,0.3417041044280003,120.6726386704186,3.680626951158047,19.674788521525187,11.447599172592165,5.447993975769762,Matt Chapman,16505,656305,656305,0.3394933940692834,154,650,4.929230769230769,656305,0.33163303546254264,0.3322218327130377,89,1622,SFG,97.25400805473328,0.3497395878572391,0.10918114143920596,99.76832348970383,3.80431642205811,183,-0.0001313790007111959,1.3004665176419296e-05,-0.00011837433553477661,-0.009603820911968874,0.00023167651029616822,0.0005420598401334083,0.34767022896071975,-0.00941181191766641
Cal Raleigh,SEA,153,628,34,73,100,6,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.3225664181204942,0.3466632040890223,117.55250684811342,-2.577874943614006,10.03471865745432,21.550546884536743,5.411826653833569,Cal Raleigh,21534,663728,663728,0.3122570157396047,153,628,5.055732484076433,663728,0.32019248779316395,0.32455810743897323,87,1432,SEA,93.54020357131958,0.3448425444943082,0.10344827586206896,99.98587327382839,3.8126119229486872,171,-0.0012754337676490646,-0.0007533678622300256,-0.00202880162987909,-0.022276126373813987,1.4126726171610926e-05,-0.0003178699964371409,0.34556041654619324,-0.02463692472630183
Jackson Merrill,SDP,156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.3753677679567921,129.64684290775756,3.721755400300026,24.74474279421471,7.192627429962158,5.345730446149148,Jackson Merrill,29490,701538,701538,0.3233672007370501,154,593,4.989881956155143,701538,0.33073654430941263,0.33169992732328485,87,1207,SDP,95.90458273887634,0.36651823797113303,0.1172069825436409,100.2617249801728,3.8231305639340407,182,-0.00022102811602419672,-3.9185873798863735e-05,-0.00026021398982306045,-0.015010451183036011,-0.0002617249801728008,0.0017459360057986491,0.36137111986156295,-0.013263004186887622
Vladimir Guerrero Jr.,TOR,159,697,30,98,103,2,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.3978902227687139,0.4129388982599432,164.49173188476283,-5.594869069755077,45.83819826287797,-17.428866386413574,5.320024514642186,Vladimir Guerrero Jr.,19611,665489,665489,0.3205347942270343,159,698,5.042979942693409,665489,0.3276938629784449,0.3150033195074956,91,1548,TOR,99.45313930511476,0.4000780926060228,0.12410656270305392,99.88969984051376,3.8089446851027757,179,-0.0005252962491209712,-0.0017088466553777883,-0.0022341429044987595,-0.002187869837308898,0.0001103001594862434,0.002780873029710603,0.39275490436034427,-0.0017514398715832978
Yordan Alvarez,HOU,147,635,35,88,86,6,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.4015873697539716,0.4147676440073566,167.06348230854238,-2.903316155076027,45.82320807732856,-16.452189445495605,5.207106688521867,Yordan Alvarez,19556,670541,670541,0.3258284234641158,149,644,4.961180124223603,670541,0.3250383792225557,0.33311127840855975,88,1395,HOU,99.48140382766724,0.40368084315501407,0.08241353936718175,100.69904560798366,3.8398062580611185,173,-0.0007908446247098911,0.00010194923472862661,-0.0006888953899812644,-0.0020934734010424894,-0.0006990456079836633,-0.0034730804706702228,0.39950680405099054,-0.005556403653710313
Brent Rooker,OAK,145,614,39,82,112,11,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.3921844166810395,0.3811160639712685,163.63141597278016,0.7568249627947807,45.4607407277596,-16.319454431533813,5.111493169542987,Brent Rooker,19627,667670,667670,0.3181091011745286,145,615,5.029268292682927,667670,0.3261879887679187,0.3297411043170355,78,1311,OAK,96.36880159378052,0.40696201487925365,0.12088752869166029,99.4225472701628,3.791131454080845,156,-0.0006758836701735882,-0.00023506817442379703,-0.0009109518445973852,-0.01477759819821417,0.000577452729837205,0.0022980179280015583,0.3986145693571948,-0.0139679848446472
Bryce Harper,PHI,145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.380217063407713,0.3591043310227736,143.72135955460536,-0.4898614436388016,32.50028944371691,-4.232383728027344,5.0979501282669775,Bryce Harper,11579,547180,547180,0.3317785593311269,145,632,5.104430379746836,547180,0.33301400309887735,0.3375698135505772,79,1368,PHI,101.27016305923462,0.3754482583239425,0.06671664167916042,100.49788857439766,3.832135837435451,167,6.717762922275883e-06,0.0005478027489303705,0.0005545205118526464,0.004768805083770478,-0.0004978885743976634,-0.005827615123873423,0.37527852590948585,-6.400953852635921e-06
Willy Adames,MIL,161,688,32,93,112,21,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.331395348,0.462295081,0.3419318153910393,0.341207106096031,120.27350052093948,1.2317712530493736,17.911096026327197,5.976341724395752,4.842335810348562,Willy Adames,15986,642715,642715,0.3087444954076935,164,703,5.1365576102418204,642715,0.32018499868668804,0.3344269507951937,92,1554,MIL,98.89779090881348,0.3457426220028615,0.09916291049581455,100.1118491043454,3.81741557108123,194,-0.0012761826782966557,0.00023351647339202032,-0.0010426662049046354,-0.003810806611822204,-0.00011184910434539575,-0.0009606748013753032,0.34594811049839314,-0.005702298513756746
Marcell Ozuna,ATL,162,688,39,96,104,1,0.107558139,0.247093023,0.244224422,0.359102244,0.301980198,0.378457059,0.54620462,0.3945021333485624,0.4040573298582556,154.4543814593856,-4.604921892285347,40.19554622376367,-17.5,4.719239959530004,Marcell Ozuna,10324,542303,542303,0.3271355945634815,164,697,5.0645624103299856,542303,0.32797373933745066,0.33487044483460987,90,1564,ATL,100.12708902359007,0.39400140081533497,0.0834403080872914,100.19593641190157,3.820621946750714,180,-0.000497308613220393,0.00027786587733363843,-0.00021944273588675456,0.0005007325332274104,-0.0001959364119015703,-0.0033190651626537754,0.3906869830558533,-0.002841838953411549
